"INST_ID","INST_Name","Address","City","State","Zip","Longitude","Latitude","Sector","Size","LandGrant","Carnegie","2020ADM_Rate","2020ENR_Rate","2019ADM_Rate","2019ENR_Rate","2018ADM_Rate","2018ENR_Rate","2017ADM_Rate","2017ENR_Rate","2016ADM_Rate","2016ENR_Rate","2015ADM_Rate","2015ENR_Rate","Head_21_TOTAL","Head_21_UG","Head_21_GR","Head_20_TOTAL","Head_20_UG","Head_20_GR","Head_19_TOTAL","Head_19_UG","Head_19_GR","Head_18_TOTAL","Head_18_UG","Head_18_GR","Head_17_TOTAL","Head_17_UG","Head_17_GR","Head_16_TOTAL","Head_16_UG","Head_16_GR","FTE2020","FTE2019","FTE2018","FTE2017","FTE2016","FTE2015","F2020_Ret","F2019_Ret","F2018_Ret","F2017_Ret","F2016_Ret","F2015_Ret","GR2020","GR2019","GR2018","GR2017","GR2016","GR2015","2020S:F","2019S:F","2018S:F","2017S:F","2016S:F","2015S:F","IN_2122_ON","OUT_2122_ON","IN_2021_ON","OUT_2021_ON","IN_1920_ON","OUT_1920_ON","IN_1819_ON","OUT_1819_ON","IN_1718_ON","OUT_1718_ON","IN_1617_ON","OUT_1617_ON","IN_1516_ON","OUT_1516_ON","UG_TOTAL_1920","UG_AID_PERC_1920","UG_PELL_PERC_1920","UG_TOTAL_1819","UG_AID_PERC_1819","UG_PELL_PERC_1819","UG_TOTAL_1718","UG_AID_PERC_1718","UG_PELL_PERC_1718","UG_TOTAL_1617","UG_AID_PERC_1617","UG_PELL_PERC_1617","UG_TOTAL_1516","UG_AID_PERC_1516","UG_PELL_PERC_1516","UG_TOTAL_1415","UG_AID_PERC_1415","UG_PELL_PERC_1415","FY20_Endow","FY19_Endow","FY18_Endow","FY17_Endow","FY16_Endow","FY15_Endow"
222178,"Abilene Christian University","","Abilene","TX","79699",-99.709797,32.468943,"Private","1,000 - 4,999","No","Doctoral/Professional Universities
",0.634042149231061,0.128612067674802,0.614816767730029,0.133218982275586,0.569625723917365,0.140212443095599,0.580569644947327,0.163306451612903,0.508876316816231,0.200690051753882,0.499166975194372,0.0992225101814143,6300,3988,2312,6058,3755,2303,5864,3594,2270,5709,3714,1995,5566,3806,1760,5131,3845,1286,4296,4334,4295,4344,4286,4148,902,905,940,993,1069,974,67,61,62,61,62,57,13,15,15,14,14,15,55500,55500,53672,53672,51887,51887,49722,49722,48300,48300,45980,45980,44740,44740,3525,97,26,3538,97,26,3666,97,27,3758,96,25,3760,96,26,3650,94,26,443572575,444076565,431945603,384583626,351988153,382839788
126182,"Adams State University","208 Edgemont Blvd","Alamosa","CO","81101",-105.879642,37.473636,"Public","1,000 - 4,999","No","Master's Colleges & Universities: Larger Programs",0.998816568047337,0.206161137440758,0.990934844192635,0.228130360205832,0.986454652532391,0.274626865671642,0.988833054159687,0.224167137210615,0.98569238630557,0.23950233281493,0.643518518518518,0.163966049382716,3863,2228,1635,3883,2374,1509,3696,2265,1431,4217,2454,1763,4343,2478,1865,4336,2685,1651,2369,2367,2345,2407,2528,2579,368,407,366,357,369,465,29,33,29,30,23,25,13,15,12,16,16,14,23797,32050,23381,35117,22916,34340,22708,33724,22895,33911,22266,33282,21726,32238,1958,67,41,1998,68,44,1949,75,48,2002,79,52,2199,74,47,2156,76,51,62124,62628,62970,63345,64882,66254
188429,"Adelphi University","South Ave","Garden City","NY","11530-0701",-73.653321,40.721439,"Private","5,000 - 9,999","No","Doctoral/Professional Universities
",0.746102159305891,0.0870857742414969,0.743013147496228,0.109456584799845,0.741811471628479,0.129042288557214,0.731246308328411,0.130510039233787,0.702941920256259,0.14702002638206,0.721896017935305,0.0926657414326892,8750,5688,3062,9074,5911,3163,9191,5937,3254,9113,5819,3294,8866,5768,3098,8373,5391,2982,6763,7081,7171,6963,6654,6285,1124,1237,1121,1215,854,954,70,68,68,67,64,63,12,11,12,11,11,11,64325,64325,63605,63605,61636,61636,58430,58430,56358,56358,53688,53688,51708,51708,5360,88,27,5391,92,32,5266,87,32,5205,85,32,4852,88,31,5071,88,31,202448000,186036085,188578577,179762036,166191992,165664071
168528,"Adrian College","110 S Madison St","Adrian","MI","49221-2575",-84.061481,41.898591,"Private","1,000 - 4,999","No","Baccalaureate Colleges: Diverse Fields",0.612074791619734,0.198012513801987,0.559302548380916,0.190133607399794,0.64809041309431,0.190920024052916,0.597322142286171,0.177985948477752,0.584133760227677,0.150121802679659,0.610313562523612,0.0972799395542123,1918,1826,92,1858,1784,74,1947,1867,80,1800,1733,67,1768,1719,49,1794,1752,42,1819,1786,1810,1659,1651,1667,540,633,529,490,484,484,45,52,53,54,51,54,14,13,14,13,12,13,56897,56897,56060,56060,54829,54829,53481,53481,52074,52074,50706,50706,48906,48906,1782,97,35,1817,97,36,1670,96,34,1653,98,35,1687,94,37,1619,82,41,36185869,33975240,36705997,35135415,33612890,31441157
133872,"AdventHealth University","671 Winyah Drive","Orlando","FL","32803",-81.367687,28.576142,"Private","1,000 - 4,999","No","Special Focus Four-Year: Other Health Professions Schools",0.908745247148289,0.414225941422594,0.50530035335689,0.447552447552448,0.868913857677903,0.405172413793103,0.968454258675079,0.348534201954397,0.762917933130699,0.366533864541833,0.603174603174603,0.428571428571429,2321,1620,701,2302,1653,649,2199,1674,525,2504,2038,466,2438,2070,368,2533,2260,273,1173,1058,1155,1215,1222,1265,40,69,86,73,53,59,34,45,54,62,57,17,7,6,7,8,8,8,41932,41932,38721,38721,25916,25916,25304,25304,27476,27476,26556,26556,25944,25944,1234,61,35,1341,59,40,1491,59,42,1659,54,37,1806,55,37,1950,54,38,8716135,8625440,8283147,7823186,7418918,7120986
100724,"Alabama State University","915 S Jackson Street","Montgomery","AL","36104-0271",-86.295677,32.364317,"Public","1,000 - 4,999","No","Doctoral/Professional Universities
",0.988757649067881,0.140328151986183,0.968984117470782,0.158187722282357,0.977386611846332,0.136453266728014,0.978661210172464,0.144414575866189,0.458963879377002,0.282069795427196,0.463858305409287,0.122187649593107,4478,3914,564,4640,4127,513,4892,4284,608,5374,4732,642,5916,5229,687,6101,5373,728,3789,3918,4118,4411,4935,4943,1000,1025,951,1143,1006,1068,30,28,22,27,26,25,15,15,15,15,17,16,22110,30438,22110,30438,22110,30438,22110,30438,21482,29810,19634,26570,19137,26070,3750,93,74,3903,95,76,4208,89,74,4727,91,74,4764,94,78,4805,94,76,111315175,94536751,99638681,100905446,92584413,86192599
102669,"Alaska Pacific University","4101 University Dr","Anchorage","AK","99508",-149.804168,61.190968,"Private","Under 1,000","No","Baccalaureate Colleges: Diverse Fields",0.906542056074766,0.0618556701030928,0.892351274787535,0.165079365079365,0.842482100238663,0.141643059490085,0.86,0.0801033591731266,0.550632911392405,0.157088122605364,0.389127324749642,0.0701001430615164,591,391,200,636,402,234,597,368,229,592,340,252,622,346,276,641,348,293,370,380,352,344,376,372,48,36,32,37,39,18,56,53,48,58,58,40,8,7,7,9,8,8,34670,34670,34670,34670,34600,34600,34600,34600,34210,34210,33690,33690,31010,31010,335,86,44,301,82,40,295,79,35,298,76,31,282,74,31,326,75,28,78389954,74723616,99505839,84763279,88442076,88911394
188526,"Albany College of Pharmacy and Health Sciences","106 New Scotland Avenue","Albany","NY","12208-3492",-73.779063,42.650371,"Private","1,000 - 4,999","No","Special Focus Four-Year: Other Health Professions Schools",0.751919669226226,0.0919088766692852,0.710740072202166,0.117460317460317,0.718891687657431,0.133847231955151,0.785505124450952,0.173345759552656,0.69170579029734,0.17420814479638,0.658691062631949,0.132301196340605,1154,708,446,1294,844,450,1374,876,498,1415,916,499,1427,911,516,1487,1008,479,1116,1227,1324,1378,1399,1472,185,191,185,153,188,213,71,58,48,71,66,72,7,8,9,9,10,9,52015,52015,51555,51555,51351,51351,49585,49585,48019,48019,46279,46279,45089,45089,794,97,27,859,99,27,890,96,27,902,96,25,1011,94,24,1084,86,24,58523378,55402537,51444313,46417075,41288529,40499118
210571,"Albright College","1621 N. 13th St.","Reading","PA","19612-5234",-75.909742,40.361351,"Private","1,000 - 4,999","No","Baccalaureate Colleges: Arts & Sciences Focus",0.821009498975601,0.0816696914700544,0.851648351648352,0.0914349276974416,0.619985196150999,0.137297039159503,0.500360057609217,0.11129767330295,0.511096014492754,0.13203367301728,0.491693917593198,0.0644865925441465,1695,1626,69,1996,1936,60,2075,2038,37,2146,2111,35,2459,2433,26,2384,2349,35,1522,1733,1905,2010,2297,2238,370,575,464,596,493,540,51,53,54,58,53,54,12,14,15,15,16,15,44454,44454,42838,42838,41382,41382,60636,60636,58320,58320,55992,55992,53880,53880,1717,85,52,1912,93,52,2015,92,49,2301,94,45,2239,91,44,2360,85,44,66410648,69353651,69325252,67742285,62894902,65568547
175342,"Alcorn State University","1000 ASU Dr Ste 359","Alcorn State","MS","39096-7500",-91.142854,31.877216,"Public","1,000 - 4,999","Yes","Master's Colleges & Universities: Small Programs",0.377154542798715,0.155305964368706,0.58231474407945,0.17185962610692,0.893138618451553,0.159615883726966,0.78608545034642,0.272493573264781,0.784408084696824,0.328834355828221,0.805647840531561,0.209634551495017,3728,3098,630,3944,3427,517,4072,3508,564,3887,3297,590,3910,3211,699,4059,3304,755,2785,3133,3257,3324,3026,3047,512,600,732,525,598,494,40,32,30,34,40,34,16,16,18,18,16,16,23812,23812,22764,22764,24266,24266,24032,24032,23413,23413,22644,22644,22036,22036,3068,87,78,3173,84,73,3172,89,78,2825,89,75,2911,85,74,3006,86,77,20193678,20193677,18728677,17313676,15898677,14483677
